cellular response to hydrogen peroxide	1.416865e-8	4.373413e+0	conserved	BP
negative regulation of cellular process	1.400963e-8	1.248221e+0	conserved	BP
response to oxygen-containing compound	1.521961e-8	1.501481e+0	conserved	BP
inflammatory response	1.521727e-8	2.029192e+0	conserved	BP
blood vessel morphogenesis	1.533926e-8	1.749804e+0	conserved	BP
positive regulation of signal transduction	2.063904e-8	1.518701e+0	conserved	BP
cellular response to growth factor stimulus	2.102469e-8	1.654917e+0	conserved	BP
response to lipopolysaccharide	2.200224e-8	2.243992e+0	conserved	BP
leukocyte migration	2.265550e-8	2.317790e+0	conserved	BP
RNA metabolic process	2.425947e-8	1.274825e+0	conserved	BP
nucleobase-containing compound metabolic process	2.614910e-8	1.222493e+0	conserved	BP
RNA biosynthetic process	2.617752e-8	1.308782e+0	conserved	BP
immune response-regulating signaling pathway	2.962109e-8	1.870835e+0	conserved	BP
wound healing	3.601910e-8	1.681364e+0	conserved	BP
regulation of response to external stimulus	5.072341e-8	1.778906e+0	conserved	BP
negative regulation of protein modification process	5.455069e-8	1.906604e+0	conserved	BP
regulation of cell proliferation	5.739870e-8	1.396277e+0	conserved	BP
heterocycle metabolic process	5.835583e-8	1.211287e+0	conserved	BP
hemopoiesis	5.998187e-8	1.768128e+0	conserved	BP
response to bacterium	6.412770e-8	1.990924e+0	conserved	BP
positive regulation of cellular biosynthetic process	7.325774e-8	1.377778e+0	conserved	BP
symbiosis, encompassing mutualism through parasitism	7.271649e-8	1.780344e+0	conserved	BP
positive regulation of biosynthetic process	8.134235e-8	1.372719e+0	conserved	BP
response to growth factor stimulus	8.413272e-8	1.613839e+0	conserved	BP
nitrogen compound metabolic process	9.352918e-8	1.187242e+0	conserved	BP
cellular nitrogen compound biosynthetic process	1.236113e-7	1.273350e+0	conserved	BP
positive regulation of signaling	1.428476e-7	1.470969e+0	conserved	BP
heterocycle biosynthetic process	1.440250e-7	1.274655e+0	conserved	BP
response to chemical stimulus	1.429250e-7	1.243152e+0	conserved	BP
regulation of phosphorylation	1.561006e-7	1.479611e+0	conserved	BP
response to oxidative stress	1.606998e-7	2.143600e+0	conserved	BP
leukocyte activation	1.607435e-7	1.856048e+0	conserved	BP
regulation of lymphocyte activation	1.884572e-7	1.926589e+0	conserved	BP
negative regulation of protein metabolic process	1.962942e-7	1.704532e+0	conserved	BP
hematopoietic or lymphoid organ development	1.961536e-7	1.692682e+0	conserved	BP
negative regulation of cellular protein metabolic process	2.422754e-7	1.758732e+0	conserved	BP
positive regulation of gene expression	2.444820e-7	1.381052e+0	conserved	BP
macromolecule biosynthetic process	3.621748e-7	1.236146e+0	conserved	BP
regulation of cell activation	3.593299e-7	1.796522e+0	conserved	BP
nucleobase-containing compound biosynthetic process	3.600977e-7	1.270409e+0	conserved	BP
regulation of cell migration	3.572803e-7	1.637057e+0	conserved	BP
macromolecule metabolic process	3.547979e-7	1.141469e+0	conserved	BP
cellular macromolecule biosynthetic process	3.678178e-7	1.239496e+0	conserved	BP
negative regulation of inflammatory response	3.801429e-7	2.976214e+0	conserved	BP
cellular nitrogen compound metabolic process	4.313656e-7	1.193522e+0	conserved	BP
negative regulation of cellular metabolic process	4.379876e-7	1.350478e+0	conserved	BP
negative regulation of macromolecule metabolic process	5.355177e-7	1.348587e+0	conserved	BP
positive regulation of hydrolase activity	5.913140e-7	1.582515e+0	conserved	BP
single-organism cellular process	6.124586e-7	1.082631e+0	conserved	BP
regulation of protein phosphorylation	6.467399e-7	1.479726e+0	conserved	BP
cellular response to molecule of bacterial origin	6.545246e-7	2.699888e+0	conserved	BP
positive regulation of cell communication	6.526801e-7	1.446996e+0	conserved	BP
positive regulation of RNA metabolic process	6.759975e-7	1.380328e+0	conserved	BP
aromatic compound biosynthetic process	7.053322e-7	1.259267e+0	conserved	BP
transcription, DNA-dependent	7.129523e-7	1.281010e+0	conserved	BP
cellular aromatic compound metabolic process	7.107819e-7	1.193790e+0	conserved	BP
cellular process	7.836471e-7	1.054512e+0	conserved	BP
regulation of transcription from RNA polymerase II promoter	7.974415e-7	1.343118e+0	conserved	BP
negative regulation of phosphorylation	8.044209e-7	1.948288e+0	conserved	BP
multi-organism cellular process	8.237551e-7	1.752488e+0	conserved	BP
single organism signaling	9.343435e-7	1.165155e+0	conserved	BP
regulation of cell motility	9.413600e-7	1.601898e+0	conserved	BP
cytokine-mediated signaling pathway	1.079819e-6	2.068477e+0	conserved	BP
cellular response to lipopolysaccharide	1.096247e-6	2.678190e+0	conserved	BP
activation of innate immune response	1.156168e-6	2.430142e+0	conserved	BP
regulation of angiogenesis	1.275555e-6	2.199474e+0	conserved	BP
negative regulation of response to stimulus	1.278101e-6	1.438815e+0	conserved	BP
cell communication	1.299881e-6	1.160620e+0	conserved	BP
angiogenesis	1.605462e-6	1.780971e+0	conserved	BP
regulation of leukocyte activation	1.607302e-6	1.786510e+0	conserved	BP
cellular biosynthetic process	1.650750e-6	1.197387e+0	conserved	BP
cellular response to oxygen-containing compound	1.670982e-6	1.558509e+0	conserved	BP
innate immune response-activating signal transduction	1.675099e-6	2.421864e+0	conserved	BP
enzyme linked receptor protein signaling pathway	1.699168e-6	1.461178e+0	conserved	BP
positive regulation of cytokine production	1.768315e-6	2.087975e+0	conserved	BP
immune response-activating signal transduction	1.842124e-6	1.941483e+0	conserved	BP
positive regulation of nitrogen compound metabolic process	1.962235e-6	1.340520e+0	conserved	BP
regulation of cellular component movement	2.083132e-6	1.544794e+0	conserved	BP
regulation of catalytic activity	2.088145e-6	1.316228e+0	conserved	BP
negative regulation of defense response	2.084568e-6	2.761181e+0	conserved	BP
positive regulation of cell proliferation	2.077976e-6	1.490994e+0	conserved	BP
organic substance biosynthetic process	2.214851e-6	1.192075e+0	conserved	BP
regulation of vasculature development	2.265475e-6	2.071174e+0	conserved	BP
positive regulation of nucleobase-containing compound metabolic process	2.302440e-6	1.341781e+0	conserved	BP
activation of immune response	2.534144e-6	1.881135e+0	conserved	BP
negative regulation of metabolic process	2.656357e-6	1.314675e+0	conserved	BP
organic cyclic compound biosynthetic process	2.783542e-6	1.240622e+0	conserved	BP
positive regulation of molecular function	2.798075e-6	1.356879e+0	conserved	BP
response to cytokine stimulus	2.805088e-6	1.705009e+0	conserved	BP
pattern recognition receptor signaling pathway	3.111866e-6	2.388907e+0	conserved	BP
positive regulation of angiogenesis	3.229867e-6	2.666809e+0	conserved	BP
leukocyte differentiation	3.251142e-6	1.884471e+0	conserved	BP
response to oxygen levels	3.247275e-6	2.011343e+0	conserved	BP
negative regulation of protein phosphorylation	3.294579e-6	1.927259e+0	conserved	BP
positive regulation of transcription, DNA-dependent	3.316307e-6	1.363064e+0	conserved	BP
positive regulation of catalytic activity	3.400572e-6	1.394255e+0	conserved	BP
viral process	3.414419e-6	1.710958e+0	conserved	BP
organic cyclic compound metabolic process	3.405772e-6	1.176717e+0	conserved	BP
apoptotic signaling pathway	3.700935e-6	2.014077e+0	conserved	BP
actin cytoskeleton organization	3.799243e-6	1.770788e+0	conserved	BP
regulation of T cell activation	3.990710e-6	1.986635e+0	conserved	BP
regulation of apoptotic signaling pathway	4.110230e-6	2.143811e+0	conserved	BP
response to decreased oxygen levels	4.313819e-6	2.028446e+0	conserved	BP
regulation of locomotion	4.330102e-6	1.537763e+0	conserved	BP
response to hypoxia	4.504290e-6	2.037863e+0	conserved	BP
negative regulation of signal transduction	5.307239e-6	1.464319e+0	conserved	BP
positive regulation of focal adhesion assembly	5.492053e-6	6.310926e+0	conserved	BP
posttranscriptional regulation of gene expression	5.464294e-6	1.805387e+0	conserved	BP
toll-like receptor signaling pathway	5.470086e-6	2.439364e+0	conserved	BP
stem cell maintenance	5.653586e-6	2.286267e+0	conserved	BP
cellular macromolecule metabolic process	5.794277e-6	1.137615e+0	conserved	BP
response to inorganic substance	6.123235e-6	1.843026e+0	conserved	BP
nucleic acid metabolic process	7.182557e-6	1.204813e+0	conserved	BP
biosynthetic process	7.258277e-6	1.181002e+0	conserved	BP
neurotrophin TRK receptor signaling pathway	7.327820e-6	1.812225e+0	conserved	BP
negative regulation of signaling	7.501590e-6	1.442568e+0	conserved	BP
regulation of phosphorus metabolic process	8.404663e-6	1.311821e+0	conserved	BP
cellular response to cytokine stimulus	8.444958e-6	1.778439e+0	conserved	BP
actin filament-based process	9.398257e-6	1.700219e+0	conserved	BP
intracellular protein kinase cascade	9.429230e-6	1.690099e+0	conserved	BP
negative regulation of cell communication	9.642034e-6	1.436833e+0	conserved	BP
cellular response to oxidative stress	1.014686e-5	2.352508e+0	conserved	BP
regulation of phosphate metabolic process	1.010121e-5	1.310268e+0	conserved	BP
positive regulation of protein metabolic process	1.044181e-5	1.417015e+0	conserved	BP
positive regulation of endothelial cell proliferation	1.057609e-5	2.829307e+0	conserved	BP
single-organism process	1.079851e-5	1.065043e+0	conserved	BP
response to estrogen stimulus	1.172541e-5	2.166215e+0	conserved	BP
regulation of I-kappaB kinase/NF-kappaB cascade	1.177548e-5	2.147769e+0	conserved	BP
regulation of body fluid levels	1.175338e-5	1.570431e+0	conserved	BP
regulation of innate immune response	1.212526e-5	2.010900e+0	conserved	BP
response to muramyl dipeptide	1.238697e-5	7.053029e+0	conserved	BP
regulation of molecular function	1.369693e-5	1.255375e+0	conserved	BP
positive regulation of transcription from RNA polymerase II promoter	1.494949e-5	1.403565e+0	conserved	BP
negative regulation of kinase activity	1.710148e-5	2.042356e+0	conserved	BP
hemostasis	1.753983e-5	1.622653e+0	conserved	BP
positive regulation of defense response	1.878462e-5	1.936740e+0	conserved	BP
Fc receptor signaling pathway	1.952344e-5	1.883553e+0	conserved	BP
positive regulation of cellular component movement	2.013097e-5	1.732324e+0	conserved	BP
regulation of leukocyte proliferation	2.098021e-5	2.014208e+0	conserved	BP
neurotrophin signaling pathway	2.323191e-5	1.750491e+0	conserved	BP
positive regulation of transforming growth factor beta3 production	2.858831e-5	2.090205e+1	conserved	BP
regulation of response to biotic stimulus	3.223349e-5	2.780318e+0	conserved	BP
positive regulation of cysteine-type endopeptidase activity	3.244989e-5	2.508314e+0	conserved	BP
regulation of toll-like receptor signaling pathway	3.296244e-5	4.649320e+0	conserved	BP
regulation of cell cycle	3.314499e-5	1.472523e+0	conserved	BP
negative regulation of stem cell differentiation	3.435657e-5	5.774064e+0	conserved	BP
cellular response to cold	3.437838e-5	1.145584e+1	conserved	BP
positive regulation of cell migration	3.469767e-5	1.719579e+0	conserved	BP
blood coagulation	3.698200e-5	1.603053e+0	conserved	BP
heart development	3.823536e-5	1.527511e+0	conserved	BP
positive regulation of intracellular protein kinase cascade	3.825675e-5	1.524644e+0	conserved	BP
positive regulation of cell motility	3.917196e-5	1.713717e+0	conserved	BP
positive regulation of lipid metabolic process	3.922268e-5	2.383292e+0	conserved	BP
negative regulation of protein kinase activity	4.030813e-5	2.038433e+0	conserved	BP
small GTPase mediated signal transduction	4.167822e-5	1.626103e+0	conserved	BP
negative regulation of phosphate metabolic process	4.184190e-5	1.698788e+0	conserved	BP
positive regulation of innate immune response	4.280062e-5	2.080994e+0	conserved	BP
modulation by symbiont of host I-kappaB kinase/NF-kappaB cascade	4.283628e-5	5.668916e+1	conserved	BP
positive regulation of endopeptidase activity	4.374004e-5	2.433735e+0	conserved	BP
response to laminar fluid shear stress	4.462222e-5	5.606384e+0	conserved	BP
response to abiotic stimulus	4.484228e-5	1.423346e+0	conserved	BP
positive regulation of lymphocyte activation	4.526069e-5	1.891470e+0	conserved	BP
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	4.986662e-5	2.527250e+0	conserved	BP
transmembrane receptor protein tyrosine kinase signaling pathway	5.139552e-5	1.469621e+0	conserved	BP
phosphate-containing compound metabolic process	5.446326e-5	1.264023e+0	conserved	BP
lymphocyte activation	5.656899e-5	1.738532e+0	conserved	BP
negative regulation of intracellular protein kinase cascade	5.795439e-5	2.040201e+0	conserved	BP
vascular smooth muscle cell development	6.243619e-5	8.682058e+0	conserved	BP
regulation of transferase activity	7.594810e-5	1.446933e+0	conserved	BP
negative regulation of transferase activity	7.573461e-5	1.938039e+0	conserved	BP
regulation of endothelial cell migration	7.566014e-5	2.164087e+0	conserved	BP
regulation of kinase activity	7.799874e-5	1.453792e+0	conserved	BP
anatomical structure formation involved in morphogenesis	7.832192e-5	1.369457e+0	conserved	BP
positive regulation of response to external stimulus	7.873943e-5	1.973420e+0	conserved	BP
positive regulation of locomotion	7.899882e-5	1.669151e+0	conserved	BP
regulation of mononuclear cell proliferation	8.900006e-5	1.964727e+0	conserved	BP
positive regulation of transcription from RNA polymerase II promoter in response to stress	9.272111e-5	9.838658e+0	conserved	BP
positive regulation of immune response	9.490074e-5	1.661013e+0	conserved	BP
interaction with host	9.514826e-5	1.731996e+0	conserved	BP
cytoplasmic transport	1.003781e-4	1.564349e+0	conserved	BP
positive regulation of peptidase activity	1.074288e-4	2.301507e+0	conserved	BP
positive regulation of cell activation	1.077441e-4	1.792875e+0	conserved	BP
response to dsRNA	1.114661e-4	3.604112e+0	conserved	BP
intracellular transport	1.138812e-4	1.401291e+0	conserved	BP
positive regulation of I-kappaB kinase/NF-kappaB cascade	1.180865e-4	2.262707e+0	conserved	BP
mitotic G1 DNA damage checkpoint	1.181581e-4	3.212039e+0	conserved	BP
positive regulation of leukocyte activation	1.194880e-4	1.803414e+0	conserved	BP
MyD88-dependent toll-like receptor signaling pathway	1.206692e-4	2.452201e+0	conserved	BP
regulation of endothelial cell proliferation	1.319694e-4	2.277918e+0	conserved	BP
cell chemotaxis	1.315435e-4	2.224368e+0	conserved	BP
activation of cysteine-type endopeptidase activity	1.315529e-4	2.566520e+0	conserved	BP
evasion or tolerance of host defenses by virus	1.363205e-4	1.533318e+1	conserved	BP
myeloid leukocyte differentiation	1.497989e-4	2.388606e+0	conserved	BP
muscle cell development	1.512859e-4	2.119103e+0	conserved	BP
regulation of lymphocyte proliferation	1.512562e-4	1.937595e+0	conserved	BP
transdifferentiation	1.513712e-4	1.130645e+1	conserved	BP
foregut morphogenesis	1.536010e-4	4.288354e+0	conserved	BP
regulation of cellular ketone metabolic process by regulation of transcription from RNA polymerase II promoter	1.605949e-4	7.607588e+0	conserved	BP
negative regulation of cell activation	1.630256e-4	2.176922e+0	conserved	BP
ascending aorta morphogenesis	1.735795e-4	6.555177e+0	conserved	BP
G1 DNA damage checkpoint	1.755863e-4	3.120067e+0	conserved	BP
modification of morphology or physiology of other organism	1.853687e-4	1.702697e+0	conserved	BP
regulation of developmental process	1.887929e-4	1.235952e+0	conserved	BP
response to fluid shear stress	1.978581e-4	3.440417e+0	conserved	BP
regulation of epithelial cell migration	2.010429e-4	1.942487e+0	conserved	BP
immune response-regulating cell surface receptor signaling pathway	2.098735e-4	1.683469e+0	conserved	BP
T cell activation	2.146912e-4	1.874640e+0	conserved	BP
regulation of catabolic process	2.142732e-4	1.406156e+0	conserved	BP
neuropeptide catabolic process	2.148859e-4	2.043481e+1	conserved	BP
phosphorus metabolic process	2.144754e-4	1.241735e+0	conserved	BP
cellular component organization or biogenesis	2.163194e-4	1.143670e+0	conserved	BP
activation of cysteine-type endopeptidase activity involved in apoptotic process	2.268604e-4	2.579220e+0	conserved	BP
Fc-epsilon receptor signaling pathway	2.287462e-4	1.858000e+0	conserved	BP
cell surface receptor signaling pathway	2.329238e-4	1.198421e+0	conserved	BP
protein stabilization	2.350961e-4	2.680857e+0	conserved	BP
ER-nucleus signaling pathway	2.344472e-4	2.741859e+0	conserved	BP
regulation of wound healing	2.366059e-4	2.295772e+0	conserved	BP
regulation of T cell proliferation	2.371720e-4	2.159665e+0	conserved	BP
myeloid cell differentiation	2.613634e-4	1.948465e+0	conserved	BP
cellular component organization	2.659621e-4	1.144014e+0	conserved	BP
lipopolysaccharide-mediated signaling pathway	2.704220e-4	3.837444e+0	conserved	BP
regulation of lymphocyte differentiation	2.707941e-4	2.195056e+0	conserved	BP
cellular component disassembly	2.771545e-4	1.758742e+0	conserved	BP
positive regulation of translation	2.963135e-4	3.324714e+0	conserved	BP
muscle cell differentiation	2.971808e-4	1.652410e+0	conserved	BP
positive regulation of organelle organization	3.078757e-4	1.796262e+0	conserved	BP
response to lipid	3.119058e-4	1.424974e+0	conserved	BP
mitotic DNA damage checkpoint	3.113795e-4	2.824534e+0	conserved	BP
regulation of MAPK cascade	3.127338e-4	1.454069e+0	conserved	BP
negative regulation of interleukin-6 production	3.190971e-4	5.409234e+0	conserved	BP
regulation of immune effector process	3.238629e-4	1.877646e+0	conserved	BP
localization	3.386095e-4	1.149509e+0	conserved	BP
regulation of T cell differentiation	3.440837e-4	2.312732e+0	conserved	BP
regulation of organelle organization	3.582388e-4	1.463528e+0	conserved	BP
regulation of protein transport	3.585086e-4	1.642214e+0	conserved	BP
mitotic DNA integrity checkpoint	3.761555e-4	2.786935e+0	conserved	BP
calcitonin catabolic process	3.755205e-4	3.028650e+1	conserved	BP
substance P catabolic process	3.755205e-4	3.028650e+1	conserved	BP
endothelin maturation	3.755205e-4	3.028650e+1	conserved	BP
heterocycle catabolic process	3.820101e-4	1.473411e+0	conserved	BP
platelet activation	3.899621e-4	1.828993e+0	conserved	BP
negative regulation of sequence-specific DNA binding transcription factor activity	3.918568e-4	2.043522e+0	conserved	BP
regulation of MyD88-dependent toll-like receptor signaling pathway	3.917759e-4	2.981437e+1	conserved	BP
cytoskeleton organization	3.989909e-4	1.422352e+0	conserved	BP
artery development	4.092290e-4	2.322298e+0	conserved	BP
regulation of protein kinase activity	4.086524e-4	1.429468e+0	conserved	BP
regulation of multi-organism process	4.181729e-4	1.936014e+0	conserved	BP
negative regulation of pro-B cell differentiation	4.185693e-4	1.214920e+1	conserved	BP
modification by symbiont of host morphology or physiology	4.178005e-4	1.694472e+0	conserved	BP
embryonic foregut morphogenesis	4.279058e-4	4.107266e+0	conserved	BP
positive regulation of cellular protein metabolic process	4.423289e-4	1.363647e+0	conserved	BP
transcription from RNA polymerase II promoter	4.664002e-4	1.476159e+0	conserved	BP
DNA integrity checkpoint	4.733285e-4	2.302234e+0	conserved	BP
nucleobase-containing compound catabolic process	4.933436e-4	1.479489e+0	conserved	BP
negative regulation of endothelial cell apoptotic process	4.971809e-4	4.326631e+0	conserved	BP
negative regulation of gene expression	5.160031e-4	1.305321e+0	conserved	BP
regulation of smooth muscle cell proliferation	5.296967e-4	2.322329e+0	conserved	BP
endoplasmic reticulum unfolded protein response	5.337836e-4	2.864105e+0	conserved	BP
organic cyclic compound catabolic process	5.432970e-4	1.448010e+0	conserved	BP
modification of morphology or physiology of other organism involved in symbiotic interaction	5.429705e-4	1.659642e+0	conserved	BP
uropod organization	5.717874e-4	2.667530e+1	conserved	BP
positive regulation of epithelial cell proliferation	5.891629e-4	1.808721e+0	conserved	BP
regulation of cysteine-type endopeptidase activity	5.928632e-4	1.865870e+0	conserved	BP
toll-like receptor 3 signaling pathway	6.244684e-4	2.375066e+0	conserved	BP
DNA damage checkpoint	6.293800e-4	2.298488e+0	conserved	BP
negative regulation of MAPK cascade	6.436626e-4	2.074116e+0	conserved	BP
GTP catabolic process	6.510532e-4	1.884248e+0	conserved	BP
protein complex disassembly	6.630083e-4	2.451898e+0	conserved	BP
regulation of interleukin-8 production	6.636837e-4	3.517143e+0	conserved	BP
cellular nitrogen compound catabolic process	6.713180e-4	1.457078e+0	conserved	BP
MyD88-independent toll-like receptor signaling pathway	6.736177e-4	2.362524e+0	conserved	BP
catabolic process	6.850410e-4	1.261277e+0	conserved	BP
aorta morphogenesis	6.991754e-4	3.204717e+0	conserved	BP
negative regulation of T cell activation	6.994649e-4	2.541761e+0	conserved	BP
protein heterooligomerization	6.985425e-4	2.598119e+0	conserved	BP
regulation of release of cytochrome c from mitochondria	7.100762e-4	3.491199e+0	conserved	BP
regulation of B cell activation	7.181133e-4	2.213883e+0	conserved	BP
cellular response to unfolded protein	7.162849e-4	2.796744e+0	conserved	BP
positive regulation of T cell activation	7.266333e-4	1.887064e+0	conserved	BP
guanosine-containing compound catabolic process	7.450670e-4	1.871490e+0	conserved	BP
toll-like receptor 4 signaling pathway	7.524160e-4	2.238311e+0	conserved	BP
negative regulation of lymphocyte activation	7.616333e-4	2.205648e+0	conserved	BP
negative regulation of cytokine production	7.663445e-4	2.098030e+0	conserved	BP
response to external stimulus	7.648436e-4	1.273959e+0	conserved	BP
negative regulation of hematopoietic progenitor cell differentiation	7.837133e-4	8.360831e+0	conserved	BP
vesicle-mediated transport	7.866740e-4	1.366494e+0	conserved	BP
regulation of focal adhesion assembly	8.052440e-4	2.941940e+0	conserved	BP
heart morphogenesis	8.079803e-4	1.635541e+0	conserved	BP
immune effector process	8.464440e-4	1.678427e+0	conserved	BP
negative regulation of leukocyte activation	8.612505e-4	2.084416e+0	conserved	BP
regulation of gluconeogenesis by regulation of transcription from RNA polymerase II promoter	8.640452e-4	1.042681e+1	conserved	BP
regulation of cellular catabolic process	9.267248e-4	1.397768e+0	conserved	BP
mitral valve morphogenesis	9.403903e-4	5.840923e+0	conserved	BP
cellular response to topologically incorrect protein	9.787917e-4	2.729390e+0	conserved	BP
response to endoplasmic reticulum stress	9.788044e-4	2.268942e+0	conserved	BP
negative regulation of G1/S transition of mitotic cell cycle	9.814121e-4	2.534009e+0	conserved	BP
artery morphogenesis	9.802083e-4	2.343471e+0	conserved	BP
aorta development	9.890507e-4	3.101907e+0	conserved	BP
monocyte differentiation	1.032742e-3	3.735380e+0	conserved	BP
leukocyte chemotaxis	1.045004e-3	2.259126e+0	conserved	BP
negative regulation of transcription, DNA-dependent	1.046319e-3	1.304750e+0	conserved	BP
negative regulation of cell death	1.076488e-3	1.375409e+0	conserved	BP
regulation of type 2 immune response	1.076058e-3	4.617800e+0	conserved	BP
regulation of cysteine-type endopeptidase activity involved in apoptotic process	1.074839e-3	1.852304e+0	conserved	BP
response to organic cyclic compound	1.086780e-3	1.397585e+0	conserved	BP
regulation of CD8-positive, alpha-beta T cell proliferation	1.092083e-3	2.185284e+1	conserved	BP
angiogenesis involved in wound healing	1.104949e-3	6.558905e+0	conserved	BP
cellular response to vascular endothelial growth factor stimulus	1.112927e-3	3.191310e+0	conserved	BP
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	1.154597e-3	3.180952e+0	conserved	BP
regulation of tumor necrosis factor production	1.165982e-3	2.557483e+0	conserved	BP
guanosine-containing compound metabolic process	1.184116e-3	1.818719e+0	conserved	BP
protein localization to organelle	1.182144e-3	1.566584e+0	conserved	BP
regulation of cell junction assembly	1.204206e-3	2.494230e+0	conserved	BP
